case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,naic_cd,naics_code_description,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,bw_atp_amt,ee_atp_cnt,findings_start_date,findings_end_date
1800777,Absolute Drywall,"Absolute Drywall, Inc.",1301 Park Place #42,Burnsville,MN,55337,238310,Drywall and Insulation Contractors,29,0,28,126268,28,6/20/2014,6/19/2016
1828841,Absolute Janitorial - BLM,"Absolute Janitorial Services, LLC",1296 W 635 S,Orem,UT,84058,561720,Janitorial Services,4,0,2,1935.39,2,7/22/2015,7/21/2017
1820334,Absolute Janitorial Service - Forest Service,"Absolute Janitorial Service, LLC",1296 W 635 S,Orem,UT,84058,561720,Janitorial Services,6,0,5,2636.43,5,7/16/2015,7/15/2017
1822784,Absolute Janitorial Services - FAA,"Absolute Janitorial Services, LLC",1296 W 635 S,Orem,UT,84058,561720,Janitorial Services,2,0,1,954.91,1,6/4/2015,6/3/2017
1823303,Absolute Janitorial Services - DOD,"Absolute Janitorial Services, LLC",1296 W 635 S,Orem,UT,84058,561720,Janitorial Services,1,0,1,4120.24,1,6/4/2015,6/3/2017
1607157,Pronto,ABY Corp,1146 S. Crocker ST,Los Angeles,CA,90021,31523,Women's and Girls' Cut and Sew Apparel Manufacturing,1,0,0,0,0,10/18/2010,1/18/2011
1646080,Pronto,A.B.Y. Corp,1146 S. Crocker Street,Los Angeles,CA,90021,3152,Cut and Sew Apparel Manufacturing,1,0,0,0,0,11/14/2011,2/14/2012
1518587,Acambaro Mexican Restaurant,"Acambaro Mexican Restaurant, Inc.",121 North Thompson,Springdale,AR,72764,722110,Full-Service Restaurants,17,0,16,8443.02,16,8/4/2006,8/1/2008
1522746,Acambaro Restaurant,"Acambaro Mexican Restaurants, Inc. dba Acamba",150 S Curtis,Pea Ridge,AR,72751,722110,Full-Service Restaurants,6,0,5,1866.15,4,8/18/2006,6/27/2008
1522747,Acambaro Restaurant,"Acambaro Mexican Restaurant, Inc dba Acambaro",2605 N College,Fayetteville,AR,72703,722110,Full-Service Restaurants,2,0,1,1430,1,8/18/2006,6/27/2008
1522749,Acambaro  Restaurant,"Acambaro Mexican Restaurants, Inc. dba Acamba",1309 S Walton Blvd,Bentonville,AR,72712,722110,Full-Service Restaurants,9,0,8,4332.75,8,8/4/2006,8/1/2008
1618073,"Access Therapies, Inc.","Access Therapies, Inc.",5980 W 71st Street Suite,Indianapolis,IN,46278,561320,Temporary Help Services,0,0,0,0,0,10/28/2009,10/28/2010
1486681,"Access Therapies, Inc.","Access Therapies, Inc.","5980 West 71st Street, Suite",Indianapolis,IN,46278,561310,Employment Placement Agencies,31,0,31,0,0,7/3/2005,3/22/2009
1481542,"Access Therapies, Inc.","Access Therapies, Inc.","5980 W. 71st Street, Suite 102",Indianapolis,IN,46278,561320,Temporary Help Services,151,212500,53,39945.73,6,2/11/2005,4/7/2010
1601737,"Access Therapies, Inc.","Access Therapies, Inc.",5980 W. 71st Street Suite  201,Indianapolis,IN,46278,561320,Temporary Help Services,0,0,1,0,0,10/9/2009,2/22/2010
1742189,Ziggyz,Acer Enterprises,6560 E 41st St.,Tulsa,OK,74145,453220,"Gift, Novelty, and Souvenir Stores",8,0,7,1200.31,7,10/1/2012,9/28/2014
1742188,Ziggyz,Acer Enterprises,2122 S Memorial Dr.,Tulsa,OK,74129,453220,"Gift, Novelty, and Souvenir Stores",5,0,4,570,4,10/1/2012,9/28/2014
1742190,Ziggyz,Acer Enterprises Inc.,"4735 S. Memorial Dr., Suite D.",Tulsa,OK,74145,453220,"Gift, Novelty, and Souvenir Stores",4,0,3,1657,3,10/1/2012,9/28/2014
1742192,Ziggyz,Acer Enterprises,2160 W Albany,Broken Arrow,OK,74012,453220,"Gift, Novelty, and Souvenir Stores",5,0,4,635.06,4,10/1/2012,9/28/2014
1463955,ACH Foods Incorporated,ACH Food Companies Inc.,710 N Mattis Ave,Champaign,IL,61821,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",1,0,1,0,0,12/20/2004,12/19/2006
1461696,ACH Foods,ACH Food Companies Inc.,1201 E. Morton,Jacksonville,IL,62650,311999,All Other Miscellaneous Food Manufacturing,1,0,1,0,0,10/30/2006,11/4/2006
1442599,AC Humko,"ACH Food Companies, Inc.",1201 E. Morton Ave.,Jacksonville,IL,62650,311999,All Other Miscellaneous Food Manufacturing,1,0,1,0,0,5/3/2004,5/2/2006
1727272,"ACH Foods, Inc.","ACH Food Companies, Inc",6400 Archer Road,Summit Argo,IL,60501,311999,All Other Miscellaneous Food Manufacturing,1,0,1,0,0,4/16/2014,4/17/2014
1516646,Buford's Restaurant,Ackerman Investment Company,2601 E 13th Street,Ames,IA,50010,72211,Full-Service Restaurants,0,0,0,0,0,6/15/2006,6/14/2008
1441351,Quality Inn & Suites,Ackerman Investment Company,1601  13th Street,Ames,IA,50010,72111,Hotels (except Casino Hotels) and Motels,2,0,2,1818.49,2,4/23/2004,4/22/2006
1728330,Quality Inn & Suites Starlite Village Confere,Ackerman Investment Company,2601 E. 13th Street,Ames,IA,50010,721110,Hotels (except Casino Hotels) and Motels,35,0,29,5050.78,29,4/29/2012,4/26/2014
1395428,Starlite Village Restaurant,Ackerman Investment Company,2601 E 13th Street,Ames,IA,50010,722110,Full-Service Restaurants,4,1485,4,0,0,3/2/2003,2/26/2005
1590491,ACME Furniture,ACME Furniture Industry Inc.,18895  E. Arenth Ave,City of Industry,CA,91748,423210,Furniture Merchant Wholesalers,27,0,26,45188.43,26,8/5/2008,8/4/2010
1647640,ACME FURINTURE,"ACME Furniture Industry, Inc.",268 Lemon Ave,Walnut,CA,91789,423220,Home Furnishing Merchant Wholesalers,6,0,5,403.75,5,9/1/2011,2/25/2012
1647641,ACME Furniture,"ACME Furniture Industry, Inc.",20002 Business Pkwy,Walnut,CA,91789,423220,Home Furnishing Merchant Wholesalers,0,0,0,0,0,9/1/2011,2/27/2012
1638642,ACME Furniture,"ACME Furniture Industry, Inc.",18895 East Arenth Ave,City of Industry,CA,91748,423220,Home Furnishing Merchant Wholesalers,2,440,2,1227.38,2,8/5/2010,1/18/2012
1348389,"Acores Foods, Inc.","Acores Foods, Inc.",11375 Douglass Rd. (TRACON project loca),Mather,CA,95655,722212,"Cafeterias, Grill Buffets, and Buffets",0,0,0,0,0,4/1/2002,3/31/2004
1418904,"Acores Foods, Inc.","Acores Foods, Incorporated",9175 Kearny Villa Road,San Diego,CA,92126,722212,"Cafeterias, Grill Buffets, and Buffets",128,0,109,35186.31,109,10/8/2003,10/8/2005
1186474,Acores Foods,Acores Foods LLC,Camp Guernsey Dining Facility,Camp Guernsey,WY,82214,72231,Food Service Contractors,0,0,0,0,0,10/1/1999,9/30/2001
1492430,Acores Foods,"Acores Foods, Inc.",Camp Gilbert Grafton,Devils Lake,ND,58301,722310,Food Service Contractors,34,0,19,13874.26,19,1/15/2006,2/29/2008
1361332,"Acosta, Magdaleno","Acosta, Magdaleno",1815 Holland Ave.,Mission,TX,78572,115115,Farm Labor Contractors and Crew Leaders,4,435,0,0,0,5/13/2004,5/26/2004
1577063,"Acosta, Magdaleno","Acosta, Magdaleno",1815 N. Holland Ave,Mission,TX,78572,115115,Farm Labor Contractors and Crew Leaders,0,0,0,0,0,3/11/2010,3/24/2010
1496423,"Acosta, Magdaleno","Acosta, Magdaleno",1815 Holland,Mission,TX,78572,115115,Farm Labor Contractors and Crew Leaders,0,0,0,0,0,10/4/2007,10/25/2007
1542153,"Acosta, Magdaleno FLC","Acosta, Magdaleno FLC",1815 N Holland,Mission,TX,78572,115115,Farm Labor Contractors and Crew Leaders,0,0,0,0,0,3/26/2009,4/8/2009
1333907,Shoe Sensation - Danville,"Acton Enterprises, Inc.",2917 N. Vermilion,Danville,IL,61832,44821,Shoe Stores,1,0,1,45,1,7/14/2002,8/6/2004
1332476,Shoe Sensation - Champaign,"Acton Enterprises, Inc.",2000 N. Neil (Store 976),Champaign,IL,61822,44821,Shoe Stores,8,0,8,556.59,8,8/6/2002,8/6/2004
1389735,Shoe Sensation #807,"Acton Enterprises, Inc.",430 Silver Bridge Plaza,Gallipolis,OH,45631,448210,Shoe Stores,1,0,1,0,0,8/16/2003,8/6/2005
1334746,Shoe Sensation - Decatur,"Acton Enterprises, Inc.","Route 51 North, Hickory Point Mall",Forsyth,IL,62535,44821,Shoe Stores,1,0,1,20,1,11/6/2002,7/1/2003
1456616,Adamucci Farms,Adamucci Farms,152 Trench Road,Bridgeton,NJ,8302,111336,Fruit and Tree Nut Combination Farming,1,850,0,0,0,8/27/2006,9/27/2006
1305912,Adamucci Farms,Adamucci Farms,152 Trench Road,Bridgeton,NJ,8302,111339,Other Noncitrus Fruit Farming,2,2950,0,0,0,8/18/2003,8/18/2003
1359009,Adamucci Farms,Adamucci Farms,139 Trench Road,Bridgeton,NJ,8302,111339,Other Noncitrus Fruit Farming,2,2600,0,0,0,5/14/2004,5/18/2004
1414876,Adamucci Farms,Adamucci Farms,139 Trench Road,Bridgeton,NJ,8302,111219,Other Vegetable (except Potato) and Melon Farming,0,0,0,0,0,7/28/2004,7/28/2005
1656995,La Reynera Bakery - 23rd. St.,Adan Orduno,6101 N. 23rd Street,McAllen,TX,78501,31181,Bread and Bakery Product Manufacturing,3,0,1,1602.25,1,9/1/2011,5/15/2012
1656994,La Reynera Bakery - Mission,Adan Orduno,3100 W. 5 Mile Rd.,Mission,TX,78572,31181,Bread and Bakery Product Manufacturing,10,0,6,18123.49,6,5/16/2010,5/15/2012
1656991,La Reynera Bakery - Penitas,Adan Orduno,18012 Sago Palm Dr. (7 mile),Penitas,TX,78576,311811,Retail Bakeries,5,0,2,9419,2,5/16/2010,5/15/2012
1638620,La Reynera Bakery - Montecristo,Adan Orduno,922 Monte Cristo,Edinburg,TX,78541,311811,Retail Bakeries,15,0,7,32840.71,7,5/16/2010,5/15/2012
1508579,Adidas,Adidas,Chicago Premium Outlet Mall,Aurora,IL,60502,4481,Clothing Stores,1,1320,1,0,0,4/8/2006,4/7/2008
1539141,Adidas,Adidas,1630 Premium Outlet Blvd,Aurora,IL,60502,4482,Shoe Stores,1,2640,1,0,0,3/31/2008,3/9/2009
1556182,Adidas,Adidas,923 Rush Street,Chicago,IL,60611,4482,Shoe Stores,0,0,0,0,0,8/31/2007,8/25/2009
1556181,Adidas,Adidas,845 N. Michigan Avenue,Chicago,IL,60611,4482,Shoe Stores,0,0,0,0,0,8/31/2007,8/25/2009
1384452,Adirondack Furniture,"Adirondack Colonial Furniture, LLC",1015 N. State Street,Syracuse,NY,13208,442110,Furniture Stores,10,0,10,175.04,2,12/8/2002,11/21/2004
1387444,Adirondack Furniture,"Adirondack Colonial Furniture, Inc.",6668 Collamer Road,East Syracuse,NY,13057,442110,Furniture Stores,4,0,4,271.62,4,1/12/2003,11/21/2004
1387446,Adirondack Furniture,"Adirondack Colonial Furniture, Inc.","Route 5, West Main Street",Elbridge,NY,13060,442110,Furniture Stores,3,0,3,119.14,3,1/12/2003,12/5/2004
1387449,Adirondack Furniture,"Adirondack Colonial Furniture, Inc.",New Hartford Shopping Center,New Hartford,NY,13413,442110,Furniture Stores,2,0,2,185.9,2,1/12/2003,12/5/2004
1576985,ADP,"ADP, Inc.",1851 N. Resler,El Paso,TX,79912,524210,Insurance Agencies and Brokerages,0,0,1,0,0,6/18/2008,4/23/2010
1651757,ADP,"ADP, Inc.",3436 Toringdon Way #310,Charlotte,NC,28207,541214,Payroll Services,75,0,74,33308.52,74,5/28/2010,5/27/2012
1631682,Automatic Data Processing,"ADP, Inc.",445 Electronics Parkway,Liverpool,NY,13088,541214,Payroll Services,1,0,1,0,0,7/11/2011,10/26/2011
1503946,ADP (Automatic Data Processing),"ADP, Inc.",1 ADP Blvd.,Roseland,NJ,7068,541214,Payroll Services,0,0,0,0,0,9/15/2007,3/20/2008
1537065,Advance Gastroenterology Associates,Advance Gastroenterology Associates,"34041 US Highway 19 North, Ste A",Palm Harbor,FL,34684,621111,Offices of Physicians (except Mental Health Specialists),11,0,10,4476.28,10,3/4/2007,2/22/2009
1546314,Advanced Security,"Advanced Security Consulting, Inc",1416 Kingston Street,Aurora,CO,80010,561612,Security Guards and Patrol Services,9,924,6,3374.81,6,6/27/2007,6/26/2009
1605265,"Advanced Security Consulting, Inc","Advanced Security Consulting, Inc",1491 Clinton Street,Aurora,CO,80010,561612,Security Guards and Patrol Services,1,0,1,348.75,1,6/9/2010,4/16/2011
1571361,Advanced Security Consulting,"Advanced Security Consulting, Inc",1491 Clinton St,Aurora,CO,80010,561612,Security Guards and Patrol Services,0,0,0,0,0,6/27/2009,6/8/2010
1456950,"Advanced Security Consulting, Inc","Advanced Security Consulting, Inc","2323 S Troy St., Bldg 5., Ste 200",Aurora,CO,80014,561612,Security Guards and Patrol Services,12,0,7,6215.01,6,6/1/2005,11/27/2006
1502891,"Campaigners, Inc","Advantage Sales and Marketing, Inc",909 N. Sepulveda # 200,El Segundo,CA,90245,54181,Advertising Agencies,2,0,2,737.63,1,3/13/2006,3/12/2008
1789165,Advantage Solutions,"Advantage Sales and Marketing, LLC","18100 Von Karman, Ste 1000",Irvine,CA,92612,541613,Marketing Consulting Services,0,0,0,0,0,3/11/2016,4/6/2016
1600947,"Advantage Sales and Marketing, LLC","Advantage Sales and Marketing, LLC",18100 Von Karrman Ave.,Irvine,CA,92612,541613,Marketing Consulting Services,0,0,0,0,0,7/5/2009,7/3/2011
1722177,Advantage Sales and Marketing,"Advantage Sales and Marketing, LLC",1400 S Douglas Ste. 200,Anaheim,CA,92806,541613,Marketing Consulting Services,0,0,1,0,0,10/8/2013,3/31/2014
1583942,Adventist La Grange Memorial Hospital,"Adventist Health System/Sunbelt, Inc.",5101 South Willow Spring Rd,La Grange,IL,60525,9660,Local Hospitals,0,0,1,0,0,1/1/2010,1/1/2011
1378637,Florida Hospital South,Adventist Health System/Sunbelt Inc.,601 E. Rollins St.,Orlando,FL,32803,62211,General Medical and Surgical Hospitals,5352,0,5352,973441.75,5349,8/13/2004,11/27/2004
1819263,Central Texas Medical Center,Adventist Health System/Sunbelt Inc.,1301 Wonder World Dr.,San Marcos,TX,78666,622110,General Medical and Surgical Hospitals,0,0,1,0,0,7/20/2015,7/19/2017
1838360,Florida Hospital Centra Care Palm Coast,"Adventist Health System/Sunbelt, Inc.",1270 Palm Coast Parkway NW,Palm Coast,FL,32137,621493,Freestanding Ambulatory Surgical and Emergency Centers,3,0,2,62.49,2,10/1/2015,2/4/2017
1679067,El Ahorro,"Adventure Supermarkets, LLC.",5859 Bissonnet,Bellaire,TX,77401,445110,Supermarkets and Other Grocery (except Convenience) Stores,24,0,23,920,23,12/27/2010,12/9/2012
1672357,El Ahorro,Adventure Supermarkets LLC,2502 N Laurent,Victoria,TX,77901,445110,Supermarkets and Other Grocery (except Convenience) Stores,11,0,8,2273.61,8,10/16/2010,10/15/2012
1675997,El Ahorro,"Adventure Supermarkets, LLC.",2001 Highway 21 East,Bryan,TX,77803,445110,Supermarkets and Other Grocery (except Convenience) Stores,4,0,2,4904.69,2,12/27/2010,12/9/2012
1687105,El Ahorro,"Adventure Supermarkets, LLC.",150 W. Parker Road,Houston,TX,77076,445110,Supermarkets and Other Grocery (except Convenience) Stores,517,0,516,20640,516,12/27/2010,12/9/2012
1516110,American Eagle Outfitters,AE Outfitters Retail Co.,6000 West Markham Street,Little Rock,AR,72205,452111,Department Stores (except Discount Department Stores),3,0,3,128.99,3,6/10/2006,6/7/2008
1549123,"American Eagle Outfitters, Inc.",AE Outfitters Retail Co.,P.O. Box 788,Warrendale,PA,15095,448190,Other Clothing Stores,0,0,0,0,0,9/2/2007,8/29/2009
1777562,American Eagle Outfitters,AE Outfitters Retail Co.,Livingston Mall 112 Eisenhower Parkway,Livingston,NJ,7039,448140,Family Clothing Stores,1,0,0,0,0,1/9/2014,1/8/2016
1838710,"American Eagle Outfitters, Inc. Store #187","AE Outfitters Retail, Co.",8700 N.E. Vancouver Mall Dr.,Vancouver,WA,98662,448140,Family Clothing Stores,0,0,0,0,0,11/12/2015,11/11/2017
1466505,Aegis Communications Group,"Aegis Communications Group, Inc.",1110 E. 7th Street,Joplin,MO,64801,561422,Telemarketing Bureaus and Other Contact Centers,0,0,0,0,0,8/20/2005,8/18/2007
1438231,Aegis Communications Group,Aegis Communications Group,609 Bellview Blvd,Fairmont,WV,26554,561422,Telemarketing Bureaus and Other Contact Centers,2,0,1,0,0,3/15/2006,3/29/2006
1596310,Aegis Communications Group Inc,"Aegis Communications Group, Inc",8001 Bent Branch Drive,Irving,TX,75063,561422,Telemarketing Bureaus and Other Contact Centers,2,0,5,216.3,1,10/21/2009,10/21/2011
1395327,Aegis Communications,"Aegis Communications Group, Inc",609 Bellview Ave,Fairmont,WV,26554,561422,Telemarketing Bureaus and Other Contact Centers,1,0,1,0,0,11/17/2003,11/21/2003
1723481,Aerohead Group,"Aerohead Group, INC",1090 Rainbow Drive,Spring Branch,TX,78070,236220,Commercial and Institutional Building Construction,103,0,41,239060.25,41,5/26/2009,5/25/2011
1742195,Aerohead,"Aerohead Group, Inc.",1090 Rainbow,Spring Branch,TX,78070,238220,"Plumbing, Heating, and Air-Conditioning Contractors",49,0,23,63096.05,23,12/5/2012,11/15/2014
1757523,Aerohead,"Aerohead Group, Inc.",1090 Rainbow,Spring Branch,TX,78070,238220,"Plumbing, Heating, and Air-Conditioning Contractors",27,0,13,20223.79,13,7/31/2013,3/20/2015
1655250,Aerohead Mechanical,"Aerohead Group, Inc.",13400 Alameda,Clint,TX,79836,238220,"Plumbing, Heating, and Air-Conditioning Contractors",8,0,7,8220.45,7,5/1/2011,8/24/2012
1694138,Anytime Fitness,"AF Holdings, Inc.",1011 N. Gammon Road,Middleton,WI,53562,713940,Fitness and Recreational Sports Centers,6,0,4,2193.34,4,5/20/2011,5/19/2013
1694141,Anytime Fitness,"AF Holdings, Inc.",6420 Cottage Grove Road,Madison,WI,53718,713940,Fitness and Recreational Sports Centers,8,0,6,2837.07,6,5/20/2011,5/19/2013
1694143,Anytime Fitness,"AF Holdings, Inc.",1117 North Sherman Ave,Madison,WI,53704,713940,Fitness and Recreational Sports Centers,6,0,4,1142.24,4,5/22/2011,5/21/2013
1694135,Anytime Fitness,"AF Holdings, Inc.",2980 Cahill Main,Madison,WI,53711,713940,Fitness and Recreational Sports Centers,5,0,3,1865.53,3,5/20/2011,5/19/2013
1748432,Alutiiq Pacific LLC,Afognak Native Corporation,545 W 112  St,New York,NY,10025,561612,Security Guards and Patrol Services,0,0,0,0,0,1/1/2014,12/31/2015
1696080,"Alutiiq Diversified Services, LLC",Afognak Native Corporation,1000 Liberty AVenue,Pittsburgh,PA,15222,561612,Security Guards and Patrol Services,0,0,0,0,0,2/9/2013,7/20/2013
1763207,"Alutiiq Diversified Services, LLC",Afognak Native Corporation,Moorhead Federal Building,Pittsburgh,PA,15222,561612,Security Guards and Patrol Services,29,0,29,16566.26,29,10/6/2012,2/2/2013
1814176,"Alutiiq Diversified Services, LLC",Afognak Native Corporation,Wm. S. Moorehead Federal Bldg.,Pittsburgh,PA,15222,561612,Security Guards and Patrol Services,68,0,58,10470.87,58,3/7/2015,2/25/2017
1379122,Firestone West Coast (Lakewood),"After Market Services, Inc.",1855 Lakewood Blvd.,Lakewood,CA,90712,4413,"Automotive Parts, Accessories, and Tire Stores",5,0,4,3870.39,4,10/22/2002,10/21/2004
1379119,Firestone West Coast,"After Market Services, Inc.",3000 Cherry Ave.,Long Beach,CA,90802,4413,"Automotive Parts, Accessories, and Tire Stores",5,0,4,9047.64,4,10/30/2002,10/29/2004
1379120,Firestone West Coast (torrance),"After Market Services, Inc.",1717 Torrance Blvd.,Torrance,CA,90501,4413,"Automotive Parts, Accessories, and Tire Stores",7,0,6,1758.76,6,9/22/2002,9/21/2004
1376096,Firestone West Coast (locust),"After Market Services, Inc.",636 Locust Avenue,Long Beach,CA,90802,4413,"Automotive Parts, Accessories, and Tire Stores",5,0,4,6038.44,4,9/18/2002,9/17/2004
1774856,"Aftercare Nursing Services, Inc.",Aftercare Nursing Services Inc.,1680 Walden Avenue,Buffalo,NY,14225,621610,Home Health Care Services,27,0,26,4126.77,26,5/2/2014,5/1/2016
1791602,"Aftercare Nursing Services, Inc.","Aftercare Nursing Services, Inc.",500 Pine Street,Jamestown,NY,14701,621610,Home Health Care Services,14,0,13,2626.61,13,5/2/2014,5/1/2016
1791603,"Aftercare Nursing Services,  Inc.","Aftercare Nursing Services, Inc.",2043 Military Road,Niagara Falls,NY,14304,621610,Home Health Care Services,0,0,0,0,0,5/2/2014,5/1/2016
1837592,Aftercare Nursing Services,"Aftercare Nursing Services, Inc.",1680 Walden Ave.,Cheektowaga,NY,14225,621610,Home Health Care Services,5,0,5,3225.63,5,5/6/2016,5/5/2018
1476610,The Agape House,"Agape Family Care Homes, LLC",7320 Bentley Wood Lane,Raleigh,NC,27616,623220,Residential Mental Health and Substance Abuse Facilities,1,0,0,0,0,5/11/2005,5/10/2007
1747530,Agape Family Care Home,"Agape Family Care Home, Inc.",120 Carriage Loop,Burlington,NC,27217,9690,Local Group Homes for Mentally and Physically Handicapped,7,0,3,0,0,3/9/2013,3/7/2015
1562658,Agape Group Home,Agape Family Care Homes LLC,3905 Marshcreek Road,Raleigh,NC,27604,9690,Local Group Homes for Mentally and Physically Handicapped,3,0,1,0,0,3/12/2008,3/11/2010
1809621,Agape Family Care Homes LLC,"Agape Family Care Homes, Inc.",7208 Vixen Ct.,Raleigh,NC,27616,62322,Residential Mental Health and Substance Abuse Facilities,3,296.8,1,7454,1,2/15/2016,11/15/2016
1443183,Aggregate Industries,"Aggregate Industries, Inc",1707 Cole Blvd,Golden,CO,80401,23899,All Other Specialty Trade Contractors,160,0,130,49666.85,130,6/19/2005,6/3/2006
1438359,Aggregate Industries,Aggregate Industries,1707 Cole Blvd  Ste 100,Golden,CO,80401,238990,All Other Specialty Trade Contractors,20,0,19,7670.94,19,4/24/2004,4/22/2006
1424832,Aggregate Industries,"Aggregate Industries, Inc",1707 Cole Blvd; Suite 100,Golden,CO,80401,327320,Ready-Mix Concrete Manufacturing,128,0,127,29790.82,127,2/2/2002,6/18/2006
1579795,"Southern Nevada Paving, Inc.",Aggregate Industries,3101 E. Craig Rd.,North Las Vegas,NV,89030,2373,"Highway, Street, and Bridge Construction",0,0,0,0,0,1/19/2010,5/19/2010
1575102,Dunkin' Donuts,AGJ Four Inc.,115 Veterans Highway,Commack,NY,11725,445299,All Other Specialty Food Stores,1,495,1,0,0,3/22/2008,10/4/2008
1575100,Dunkin' Donuts,AGJ Four Inc.,560 Smithtown Bypass,Smithtown,NY,11787,445299,All Other Specialty Food Stores,1,575,1,0,0,1/2/2010,2/27/2010
1575106,Dunkin' Donuts,AGJ Four Inc.,731 Nesconset Highway,Smithtown,NY,11787,445299,All Other Specialty Food Stores,1,575,1,0,0,7/27/2009,9/19/2009
1575108,Dunkin' Donuts,AGJ Four Inc.,1275 Veterans Memorial Highway,Hauppauge,NY,11788,445299,All Other Specialty Food Stores,1,495,1,0,0,3/29/2008,10/25/2008
1748438,Brick Oven Pizza Kapolei,AGR Inc,889 Kamokila Blvd,Kapolei,HI,96707,722110,Full-Service Restaurants,22,0,21,24149.25,21,12/9/2012,12/8/2014
1731455,"Brick Oven Pizza -Kalaheo, INC",AGR Inc.,2-2555 Kaumaulii Hwy,Kalaheo,HI,96741,722110,Full-Service Restaurants,19,0,18,21554.84,18,12/9/2012,12/8/2014
1748436,Brick Oven Pizza Kaneohe,AGR Inc.,46-047 Kamehameha Hwy Unit C6,Kaneohe,HI,96744,722110,Full-Service Restaurants,28,0,27,13423.04,27,12/9/2012,12/8/2014
1748082,Brick Oven Pizza Wailua,AGR Inc.,4-4361 Kuhio HWY,Kapaa,HI,96746,722110,Full-Service Restaurants,22,0,21,21206.31,21,12/9/2012,12/8/2014
1588594,Waffle House #1452,"Ahroo Waffles, LLC",3890 Union Deposit Road,Harrisburg,PA,17109,722110,Full-Service Restaurants,3,0,2,156.9,2,11/6/2008,11/5/2010
1588726,Waffle House Inc #1510,"Ahroo Waffles, LLC",1021 Dillerville Road,Lancaster,PA,17603,722110,Full-Service Restaurants,2,0,1,27.38,1,11/6/2008,11/5/2010
1588727,"Waffle House, Inc # 1450","Ahroo Waffles, LLC",2499 Lincoln Hwy. East,Lancaster,PA,17602,722110,Full-Service Restaurants,2,0,1,624.8,1,11/6/2008,11/5/2010
1582827,Waffle House # 1394,"Ahroo Waffles, LLC",1249 Harrisburg Pike,Carlisle,PA,17013,722110,Full-Service Restaurants,3,0,2,2470.59,2,11/6/2008,11/5/2010
1631835,"Ahtna Technical Services, Inc.","Ahtna Technical Services, Inc",560 East 34th Avenue,Anchorage,AK,99503,561720,Janitorial Services,9,0,9,15168.62,9,3/19/2010,5/5/2012
1544476,Ahtna Technical Services,Ahtna Technical Services Inc.,26 Harvester Ave.,Batavia,NY,14020,561210,Facilities Support Services,0,0,0,0,0,1/1/2008,1/1/2010
1565695,"Ahtna Technical Services, Inc.","Ahtna Technical Services, Inc.",27991 Buena Vista Blvd,Los Fresnos,TX,78566,561210,Facilities Support Services,0,0,0,0,0,10/25/2008,10/16/2010
1599909,ATSI,"Ahtna Technical Services, Inc.",3250 N. Pinal Parkway,Florence,AZ,85232,56161,"Investigation, Guard, and Armored Car Services",0,0,0,0,0,11/1/2009,11/3/2010
1511875,"Air Property Maintenance Company, Inc.","Air Property Maintenance Company, Inc.",3910 Constellation Road # 104,Lompoc,CA,93438,811490,Other Personal and Household Goods Repair and Maintenance,0,0,0,0,0,10/1/2008,10/15/2008
1494341,Air Property Maintenance,"Air Property Maintenance Company, Inc.",3910 Constellation Road. Suite # 104,Lompoc,CA,93436,561990,All Other Support Services,36,0,18,23673.28,18,10/14/2005,10/5/2007
1488375,Air Property Maintenance,"Air Property Maintenance  Company, Inc.",3910 Constellation Road,Lompoc,CA,93436,561990,All Other Support Services,36,0,17,35769.81,17,10/1/2006,10/5/2007
